,cell_x,cell_y,death_time
0,903.6459459459458,184.7486486486488,0
1,366.5648648648649,559.2135135135135,35
2,403.8621621621622,490.5864864864864,35
3,214.391891891892,72.85675675675691,35
4,272.5756756756757,177.2891891891893,35
5,940.9432432432432,404.0567567567568,35
6,967.7972972972972,724.8135135135135,35
7,909.6135135135132,815.8189189189187,35
8,169.63513513513522,93.74324324324336,35
9,172.61891891891898,159.38648648648658,35
10,963.3216216216216,159.38648648648658,35
11,72.13610719322995,107.35754583921026,35
12,56.95416078984489,134.21791255289156,35
13,109.50705218617776,176.26022566995778,35
14,298.697461212976,60.64386459802552,35
15,319.7186177715092,32.615655853314706,35
16,448.1812411847672,507.9273624823697,35
17,494.894922425952,513.7665726375177,35
18,976.045839210155,759.0133991537376,35
19,99.06906077348069,85.70165745856366,70
20,133.378453038674,57.11049723756925,70
21,51.03591160220993,227.51381215469624,70
22,325.51104972375686,122.29834254143658,70
23,68.19060773480665,467.6795580110498,70
24,245.4558011049724,497.414364640884,70
25,524.5055248618784,419.6464088397792,70
26,516.5,497.414364640884,70
27,437.5883977900552,372.75690607734816,70
28,673.1795580110496,395.62983425414376,70
29,856.1629834254143,272.1160220994476,70
30,871.0303867403313,695.2651933701657,70
31,864.1685082872928,728.4309392265193,70
32,1009.4116022099442,665.5303867403317,70
33,349.3966480446928,486.7765363128492,70
34,386.4022346368717,518.0,70
35,387.5586592178772,563.1005586592179,70
36,469.66480446927386,485.6201117318437,70
37,536.7374301675981,461.3351955307263,70
38,409.5307262569833,359.5698324022346,70
39,972.709497206704,648.6759776536313,70
40,107.05570839064656,99.01719394773056,70
41,167.41884456671258,192.40921595598363,70
42,350.7861072902338,171.90852819807438,70
43,239.1712517193948,346.16437414030264,70
44,83.13823933975243,600.1451169188446,70
45,69.47111416781297,805.1519944979367,70
46,428.2331499312242,509.0309491059147,70
47,406.5935350756533,411.08321870701513,70
48,350.7861072902338,454.3624484181568,70
49,824.5797799174687,323.3858321870702,70
50,940.7503438789544,684.4257221458048,70
51,1007.94704264099,659.3693259972489,70
52,894.0543328748279,805.1519944979367,70
53,925.9442916093532,772.1231086657497,70
54,93.92265193370169,432.2265193370168,70
55,113.36464088397788,505.41988950276254,70
56,139.66850828729284,607.2044198895027,70
57,201.4254143646409,409.3535911602211,70
58,212.86187845303863,354.4585635359117,70
59,528.5082872928177,527.1491712707182,70
60,579.9723756906078,434.5138121546962,70
61,873.8895027624309,288.1270718232045,70
62,851.0165745856352,657.5248618784532,70
63,853.3038674033148,614.0662983425415,70
64,162.55020920502105,28.79288702928875,70
65,69.01046025104607,341.74686192468624,70
66,108.27405857740592,555.3870292887028,70
67,241.07740585774067,442.21548117154816,70
68,280.3410041841005,480.3242677824268,70
69,324.22384937238513,466.4665271966527,70
70,380.8096234309625,757.4790794979081,70
71,428.1569037656905,542.6841004184099,70
72,452.4079497907952,315.1861924686193,70
73,477.81380753138086,326.734309623431,70
74,939.7384937238496,475.7050209205021,70
75,920.1066945606696,780.5753138075314,70
76,262.7396694214877,133.3677685950414,70
77,396.1776859504134,275.92975206611567,70
78,893.4338842975208,416.21074380165305,70
79,205.8564493758669,10.261442441054212,70
80,186.33356449375876,69.97850208044396,70
81,66.89944521497928,166.44452149791968,70
82,362.0395284327324,512.1144244105411,70
83,482.62205270457713,447.8037447988906,70
84,551.5263522884884,403.0159500693483,70
85,503.2933425797505,354.78294036061044,70
86,452.7635228848822,690.1171983356453,70
87,685.8897364771152,811.848127600555,70
88,143.61448275862068,123.2724137931034,105
89,416.5689655172413,301.435172413793,105
90,317.2089655172413,279.7358620689654,105
91,512.5027586206895,600.6572413793102,105
92,561.6117241379309,645.1979310344826,105
93,822.0034482758618,381.3799999999998,105
94,1013.8710344827584,321.99241379310337,105
95,893.9537931034482,731.9951724137931,105
96,944.2048275862066,775.393793103448,105
97,301.51652892561987,105.9958677685952,105
98,263.88016528925624,61.51652892561992,105
99,286.6900826446281,354.6239669421488,105
100,450.9214876033058,418.49173553719015,105
101,655.0702479338843,311.28512396694225,105
102,685.8636363636365,285.05371900826464,105
103,990.3760330578514,449.2851239669423,105
104,1023.4504132231408,429.8966942148761,105
105,661.913223140496,748.0950413223143,105
106,266.95000000000005,388.625,105
107,379.65,375.9749999999999,105
108,437.15000000000015,657.7249999999998,105
109,1027.1,387.4749999999999,105
110,204.69354838709685,112.5645161290322,105
111,366.1129032258065,279.7903225806451,105
112,369.5967741935485,323.91935483870964,105
113,282.50000000000006,516.6935483870967,105
114,476.4354838709677,657.2096774193548,105
115,711.016129032258,307.6612903225805,105
116,199.97922437673125,181.123268698061,105
117,359.3864265927977,411.6329639889197,105
118,422.461218836565,442.5969529085872,105
119,449.98476454293615,470.1204986149584,105
120,594.4833795013849,794.6689750692518,105
121,912.1509695290856,701.7770083102491,105
122,679.3476454293627,350.8518005540166,105
