 CellID,cell_x,cell_y,death_time
1,488.243,659.806,470
2,486.308,591.439,500
3,610.788,631.427,500
4,565.64,673.995,550
5,619.172,675.285,520
6,748.167,583.699,430
7,722.368,466.959,480
8,610.143,373.438,400
9,618.527,377.953,390
10,603.693,513.397,660
11,525.007,593.374,570
12,857.167,421.166,580
13,659.161,366.989,550
14,670.77,300.557,490
15,699.794,320.551,460
16,552.74,400.527,650
17,518.557,465.024,560
18,890.705,400.527,520
19,723.013,465.024,600
20,892.64,496.628,780
21,732.042,555.965,840
22,719.788,612.078,770
23,694.634,621.752,790
24,668.835,666.255,950
25,684.315,656.581,970
26,623.042,617.237,940
27,947.463,646.261,630
28,884.901,515.977,850
29,839.753,566.285,820
30,881.676,624.977,740
31,690.764,486.308,950
32,689.474,450.835,980
33,663.03,402.462,1010
34,788.155,395.367,910
35,771.386,397.302,1020
36,875.871,401.172,970
37,953.268,414.072,850
38,997.771,600.468,820
39,964.877,622.397,820
40,990.031,653.356,750
41,868.776,583.699,1140
42,895.865,677.865,750
43,853.297,681.735,760
44,777.19,588.214,940
45,566.93,581.119,980
46,510.817,519.202,1110
47,553.385,583.054,1100
48,501.143,629.492,1190
49,533.391,477.279,590
50,575.314,406.332,590
51,634.007,430.841,860
52,701.084,361.829,1210
53,835.883,518.557,910
54,568.865,462.444,1020
55,812.664,495.338,1040
56,797.829,528.231,1010
57,647.551,439.87,1110
58,643.036,595.953,1220
59,901.67,610.143,1230
60,975.842,604.338,1330
61,966.812,579.184,1130
62,969.392,452.77,1030
63,930.049,472.764,1070
64,942.948,495.983,1220
65,964.232,470.829,1290
66,884.256,436.646,470
67,917.794,532.101,530
68,890.06,565.64,490
69,538.551,654.646,580
70,916.504,566.285,840
71,770.741,397.947,1010
72,956.492,488.243,1350
73,830.723,586.924,1240
74,773.966,617.237,1140
75,620.462,314.101,610
76,666.255,315.391,480
77,557.9,526.297,1240
78,577.894,516.622,1000
79,518.557,465.669,550
80,1151.274,666.255,350
81,1133.859,402.462,510
82,1246.729,615.948,540
83,1022.279,699.149,550
84,1118.38,543.066,560
85,1184.167,525.007,540
86,1198.357,563.06,490
87,1082.262,713.338,490
88,1021.634,638.522,770
89,1030.664,566.93,860
90,1033.889,437.935,830
91,1028.729,361.829,480
92,1040.339,552.74,1110
93,1091.291,557.9,1080
94,1133.859,573.379,1050
95,1197.067,579.184,1010
96,1218.996,655.291,870
97,1209.321,674.64,840
98,947.463,409.557,870
99,1019.055,718.498,1290
100,1006.8,708.823,1050
101,1110.641,690.764,760
102,1205.451,693.344,630
103,1105.481,284.432,350
104,1087.422,291.527,350
105,1077.102,281.852,420
106,1120.96,336.675,570
107,1100.966,332.805,510
108,1113.865,311.521,770
109,1030.664,361.184,470
110,1051.948,371.503,570
111,986.806,352.154,920
112,819.114,737.847,490
113,858.457,751.392,370
114,683.025,937.143,330
115,732.687,791.38,410
116,1074.522,843.622,360
117,1002.285,910.699,590
118,933.918,893.285,500
119,1129.345,868.131,450
120,691.409,815.889,700
121,769.451,768.806,910
122,714.628,722.368,860
123,687.539,732.042,750
124,878.451,755.906,720
125,671.415,790.09,740
126,745.587,752.681,830
127,685.604,774.61,870
128,808.149,788.8,940
129,835.238,843.622,790
130,875.871,866.841,810
131,936.498,884.256,810
132,1009.38,884.901,620
133,1168.043,871.356,560
134,1160.948,759.776,390
135,1195.132,733.332,600
136,919.084,885.546,990
137,932.628,865.551,890
138,921.019,829.433,1000
139,906.185,814.599,1030
140,980.356,835.238,910
141,1003.575,861.037,770
142,1035.179,793.96,760
143,1117.09,802.344,840
144,1085.487,739.782,840
145,984.226,687.539,790
146,853.297,707.533,780
147,775.255,704.309,1020
148,749.457,703.664,1180
149,740.427,688.184,1310
150,668.835,755.261,940
151,1131.28,761.066,950
152,1077.102,813.309,890
153,1044.853,802.989,920
154,1031.954,745.587,940
155,1071.942,739.782,930
156,1060.333,743.652,1240
157,630.137,815.244,660
158,584.989,775.9,650
159,527.586,713.983,460
160,584.344,719.143,430
161,743.652,875.871,780
162,783.64,902.96,880
163,717.853,913.279,1030
164,683.025,832.013,990
165,608.853,843.622,920
166,816.534,862.972,1010
167,775.255,852.652,1050
168,737.202,844.267,1090
169,483.728,620.462,1090
170,594.664,892.64,860
171,579.184,886.191,990
172,623.042,861.037,1090
173,622.397,701.084,690
174,621.752,536.616,1090
175,574.669,406.332,580
176,559.835,372.148,550
177,721.723,335.385,460
178,720.433,345.705,530
179,895.22,450.835,1300
180,708.823,560.48,1390
181,953.912,727.528,1370
182,850.717,728.818,1090
183,824.273,744.942,1150
184,656.581,723.013,1290
185,684.315,607.563,1270
186,545.646,614.658,910
187,981.001,503.078,1050
188,1025.504,466.314,950
189,1167.398,654.001,810
190,1015.83,690.119,710
191,1215.126,597.243,650
192,1149.339,383.113,480
193,1200.292,468.249,660
194,1246.084,655.936,520
195,1231.895,632.717,760
196,706.889,866.196,830
197,1015.83,750.102,910
198,605.628,768.161,450
199,729.462,876.516,1100
200,881.031,844.912,1290
201,579.184,728.818,850
202,608.208,793.96,720
203,592.084,825.563,750
204,560.48,770.096,990
205,579.829,514.687,1000
206,497.918,541.776,1290
207,657.226,784.285,1310
208,712.693,684.315,1330
