,Unnamed: 0,TrackID,cell_x,cell_y,death_time
0,0,1,283.4,920.4,270
1,1,2,801.45,936.0,185
2,2,3,690.3,928.85,210
3,3,4,659.1,929.5,235
4,4,6,555.75,928.85,220
5,5,7,961.35,919.1,185
6,6,8,409.5,921.7,220
7,7,9,393.9,923.65,205
8,8,10,937.95,927.55,250
9,9,11,776.1,923.65,220
10,10,12,614.25,923.0,210
11,11,13,300.3,921.05,180
12,12,14,878.8,922.35,185
13,13,15,758.55,923.0,225
14,14,16,372.45,921.7,195
15,15,17,817.7,923.65,215
16,16,18,837.2,918.45,195
17,17,20,612.3,940.55,240
18,18,21,593.45,941.2,200
19,19,22,677.3,937.95,205
20,20,23,739.05,937.95,220
21,21,24,826.8,937.95,200
22,22,25,407.55,937.3,200
23,23,26,351.0,934.05,235
24,24,27,463.45,941.2,205
25,25,28,593.45,925.6,290
26,26,29,568.75,935.35,215
27,27,30,860.6,931.45,190
28,28,31,627.9,935.35,235
29,29,32,443.95,932.1,190
30,30,33,723.45,929.5,240
31,31,34,317.85,930.15,180
32,32,35,952.9,930.8,210
33,33,36,743.6,902.85,200
34,34,37,271.7,904.8,235
35,35,38,865.15,908.7,230
36,36,39,628.55,909.35,210
37,37,40,918.45,902.2,235
38,38,41,568.1,904.8,220
39,39,42,286.0,902.2,200
40,40,43,807.3,902.85,190
41,41,44,785.2,904.15,165
42,42,45,889.2,908.7,155
43,43,46,554.45,901.55,215
44,44,47,498.55,900.9,205
45,45,48,938.6,895.7,160
46,46,49,906.75,897.0,235
47,47,50,391.95,894.4,200
48,48,51,349.7,897.65,195
49,49,52,674.05,894.4,255
50,50,53,424.45,910.0,205
51,51,54,427.7,923.0,140
52,52,55,933.4,913.9,240
53,53,56,679.25,917.8,280
54,54,57,351.0,915.85,200
55,55,58,738.4,917.8,200
56,56,59,801.45,917.15,195
57,57,60,474.5,911.95,195
58,58,61,911.3,914.55,195
59,59,62,841.1,943.8,190
60,60,63,514.8,910.0,190
61,61,64,296.4,908.05,195
62,62,66,319.15,907.4,185
63,63,67,703.95,910.0,255
64,64,68,762.45,908.05,200
65,65,69,952.25,908.05,245
66,66,70,546.65,967.2,205
67,67,71,850.85,971.1,235
68,68,72,319.8,969.15,205
69,69,73,774.15,969.8,200
70,70,74,670.8,971.1,210
71,71,75,388.05,969.15,200
72,72,76,523.9,971.1,200
73,73,77,497.9,971.1,200
74,74,78,440.05,971.1,210
75,75,79,609.05,973.7,210
76,76,80,362.7,967.85,200
77,77,81,921.7,963.95,260
78,78,82,572.0,971.1,280
79,79,83,478.4,970.45,220
80,80,84,960.7,965.25,265
81,81,85,795.6,965.9,240
82,82,86,297.05,958.1,190
83,83,87,884.65,961.35,190
84,84,88,900.9,975.65,220
85,85,89,919.75,978.25,245
86,86,90,471.25,984.1,205
87,87,92,802.1,978.9,190
88,88,93,297.7,979.55,205
89,89,94,820.3,978.25,220
90,90,95,620.75,981.5,185
91,91,96,882.7,979.55,200
92,92,97,739.05,960.05,205
93,93,99,935.35,972.4,265
94,94,100,716.3,971.1,215
95,95,101,283.4,968.5,195
96,96,102,594.75,971.1,200
97,97,103,347.75,976.95,205
98,98,104,949.0,969.15,245
99,99,105,286.65,942.5,200
100,100,106,702.65,950.3,205
101,101,107,436.15,948.35,215
102,102,108,365.95,947.05,195
103,103,109,308.75,945.75,215
104,104,110,717.6,947.7,205
105,105,111,555.1,945.75,175
106,106,112,924.3,939.9,940
107,107,113,863.85,950.95,215
108,108,114,952.9,947.7,285
109,109,115,755.3,942.5,205
110,110,116,784.55,944.45,200
111,111,117,484.9,945.75,195
112,112,118,893.1,941.2,195
113,113,119,297.05,939.9,220
114,114,120,707.85,937.3,210
115,115,121,386.75,941.2,205
116,116,122,908.05,950.3,195
117,117,123,455.0,963.95,220
118,118,124,590.2,954.85,180
119,119,125,828.75,959.4,200
120,120,126,655.2,954.2,190
121,121,127,619.45,957.45,210
122,122,128,495.95,958.1,210
123,123,129,942.5,950.95,170
124,124,130,605.15,955.5,200
125,125,131,595.4,902.2,255
126,126,132,391.95,954.2,205
127,127,134,631.15,952.9,220
128,128,135,344.5,954.2,195
129,129,136,326.95,952.9,225
130,130,137,523.25,955.5,200
131,131,138,414.7,952.9,120
132,132,139,896.35,839.15,200
133,133,140,328.25,846.3,230
134,134,141,809.9,843.7,200
