,Unnamed: 0,TrackID,cell_x,cell_y,death_time
0,0,1,117.636,205.06,120
1,1,2,106.708,149.777,110
2,2,3,70.71,149.777,60
3,3,5,61.711,165.205,85
4,4,7,84.21,174.204,115
5,5,9,106.065,180.633,60
6,6,12,85.495,191.561,150
7,7,13,112.494,192.846,305
8,8,15,104.78,199.274,100
9,9,17,37.926,208.274,70
10,10,18,60.425,205.06,30
11,11,19,94.495,212.131,35
12,12,23,118.922,218.559,45
13,13,24,41.783,230.773,305
14,14,26,92.566,228.201,75
15,15,32,91.923,147.206,80
16,16,43,74.567,74.567,320
17,17,50,48.212,138.849,110
18,18,52,57.211,125.993,115
19,19,62,67.496,136.278,40
20,20,71,88.066,130.493,115
21,21,87,70.067,123.422,200
22,22,100,471.83,444.189,200
