 CellID,cell_x,cell_y,death_time,Mode
1,196.2787325,18.64179876,130,apoptotic
19,247.1045938,100.2800209,530,apoptotic
20,254.5425247,130.4925913,95,apoptotic
34,179.7499971,229.486971,70,apoptotic
45,335.533328,86.78078735,90,apoptotic
