,Unnamed: 0,TrackID,cell_x,cell_y,death_time
0,0,1,494.329,434.547,170
1,1,2,372.193,415.905,110
2,2,3,431.975,423.619,110
3,3,4,636.392,428.119,170
4,4,5,444.832,427.476,120
5,5,6,332.338,424.904,125
6,6,7,390.835,422.333,150
7,7,8,595.895,437.761,100
8,8,9,260.342,428.761,175
9,9,10,648.606,428.761,130
10,10,11,669.176,435.832,140
11,11,12,779.099,429.404,85
12,12,13,171.633,430.69,145
13,13,14,93.209,427.476,75
14,14,15,196.06,433.261,100
15,15,16,323.339,432.618,165
16,16,17,394.049,435.19,130
17,17,18,310.482,442.903,170
18,18,19,365.122,435.19,145
19,19,20,419.762,431.975,115
20,20,21,134.35,440.332,55
21,21,22,214.059,446.76,190
22,22,23,681.39,442.261,120
23,23,24,349.694,442.261,145
24,24,25,614.537,446.76,150
25,25,26,430.047,442.903,125
26,26,27,702.603,406.905,140
27,27,28,676.247,404.977,120
28,28,29,712.888,411.405,110
29,29,30,120.207,407.548,80
30,30,31,296.983,412.048,135
31,31,32,471.188,396.62,125
32,32,33,647.32,413.976,150
33,33,34,360.622,407.548,105
34,34,35,729.601,410.12,65
35,35,36,214.702,431.975,155
36,36,37,178.061,414.619,45
37,37,38,86.781,416.548,80
38,38,39,190.275,414.619,105
39,39,40,238.486,452.546,190
40,40,41,311.768,414.619,145
41,41,42,615.179,420.405,135
42,42,43,782.313,413.334,85
43,43,44,516.185,415.905,175
44,44,45,228.844,421.69,160
45,45,46,158.777,415.262,45
46,46,47,201.846,421.048,120
47,47,48,244.272,422.976,175
48,48,49,671.105,418.476,85
49,49,50,129.207,419.119,50
50,50,51,349.052,417.833,140
51,51,52,492.401,419.119,165
52,52,53,653.106,478.259,130
53,53,54,338.124,470.545,100
54,54,55,419.119,467.331,125
55,55,56,673.676,470.545,130
56,56,57,736.03,471.83,65
57,57,58,305.34,472.473,145
58,58,59,493.686,467.331,105
59,59,60,545.112,469.902,140
60,60,61,641.535,469.259,135
61,61,62,395.335,472.473,120
62,62,63,237.201,479.544,165
63,63,64,460.26,472.473,90
64,64,65,365.122,474.402,65
65,65,66,215.345,471.188,140
66,66,67,251.986,486.615,165
67,67,69,451.26,480.187,105
68,68,70,560.54,474.402,155
69,69,71,623.536,488.544,155
70,70,72,381.193,477.616,70
71,71,73,766.242,480.83,65
72,72,74,215.988,485.972,145
73,73,75,488.544,476.33,40
74,74,76,752.1,487.258,185
75,75,77,441.618,485.33,110
76,76,78,390.835,480.83,85
77,77,79,254.557,462.831,170
78,78,80,595.895,446.76,140
79,79,81,655.677,456.403,130
80,80,82,745.672,452.546,130
81,81,83,777.813,447.403,135
82,82,84,506.543,453.189,130
83,83,85,765.599,454.474,155
84,84,86,219.845,458.331,165
85,85,87,446.118,453.831,160
86,86,88,152.348,472.473,45
87,87,90,369.622,455.117,135
88,88,91,640.892,455.117,165
89,89,92,503.971,404.977,65
90,90,93,334.267,457.688,130
91,91,94,349.052,457.045,120
92,92,95,597.18,457.688,145
93,93,96,188.346,457.688,220
94,94,98,782.313,464.759,210
95,95,99,357.408,461.545,70
96,96,100,565.682,466.688,120
97,97,101,698.746,464.759,120
98,98,102,579.824,466.688,155
99,99,103,602.323,473.759,170
100,100,104,408.191,462.831,105
101,101,105,431.975,370.908,125
102,102,106,239.772,364.479,150
103,103,107,464.759,362.551,115
104,104,108,593.966,367.051,80
105,105,109,205.06,363.836,25
106,106,110,676.89,366.408,115
107,107,112,190.918,370.265,25
108,108,113,253.914,365.765,170
109,109,114,143.349,361.908,85
110,110,115,608.108,366.408,95
111,111,116,272.556,370.908,125
112,112,117,327.839,364.479,130
113,113,118,578.539,361.908,115
114,114,119,777.813,375.407,75
115,115,120,792.598,371.55,125
116,116,121,229.487,372.193,145
117,117,122,498.829,372.193,70
118,118,123,750.815,372.193,130
119,119,124,158.777,367.051,90
120,120,126,542.541,372.836,115
121,121,127,620.965,377.336,135
122,122,128,322.696,379.264,115
123,123,129,518.113,374.764,100
124,124,130,171.633,376.05,125
125,125,131,694.246,359.337,85
126,126,132,453.831,346.48,85
127,127,133,644.749,345.195,110
128,128,134,248.129,341.981,155
129,129,136,523.899,345.838,90
130,130,138,784.884,343.909,105
131,131,139,169.062,347.123,85
132,132,140,190.275,349.694,25
133,133,141,391.478,351.623,100
134,134,142,263.556,348.409,170
135,135,143,736.03,350.98,125
136,136,144,687.175,381.193,110
137,137,145,236.558,351.623,150
138,138,146,361.908,356.123,105
139,139,147,111.208,345.195,45
140,140,148,721.245,359.337,115
141,141,149,344.552,351.623,125
142,142,150,775.242,355.48,55
143,143,151,129.207,359.98,150
144,144,152,557.326,358.694,130
145,145,154,343.266,362.551,140
146,146,155,485.33,358.051,105
147,147,157,788.741,400.477,105
148,148,158,507.828,388.906,125
149,149,159,628.679,405.62,90
150,150,160,236.558,395.335,135
151,151,161,451.903,385.05,90
152,152,162,363.836,392.763,110
153,153,164,189.632,394.692,130
154,154,165,258.414,396.62,80
155,155,166,294.412,397.263,125
156,156,167,539.969,397.263,120
157,157,168,115.708,395.335,75
158,158,170,133.064,395.978,85
159,159,171,347.123,401.763,85
160,160,172,410.12,399.192,85
161,161,173,163.276,400.477,45
162,162,174,522.613,401.12,135
163,163,175,144.635,414.619,45
164,164,176,268.699,401.763,150
165,165,178,244.272,408.191,125
166,166,180,220.487,413.334,150
167,167,181,381.835,406.905,100
168,168,182,485.33,403.049,125
169,169,183,745.029,385.05,65
170,170,184,127.921,376.05,80
171,171,186,663.391,376.693,115
172,172,187,107.351,385.05,100
173,173,188,581.11,378.621,80
174,174,189,246.843,377.979,130
175,175,190,644.749,379.264,135
176,176,193,566.325,380.55,105
177,177,194,203.131,380.55,25
178,178,195,485.972,379.907,100
179,179,196,361.265,486.615,70
180,180,197,223.059,386.335,145
181,181,198,553.469,389.549,100
182,182,199,797.098,383.764,95
183,183,200,527.113,387.621,90
184,184,201,92.566,388.906,90
185,185,202,161.348,385.692,115
186,186,203,672.39,390.192,135
187,187,204,704.531,388.264,130
188,188,205,616.465,395.978,60
189,189,206,413.334,388.264,85
190,190,207,730.887,389.549,70
191,191,208,335.552,390.192,135
192,192,209,718.673,603.609,170
