cell_x,cell_y,death_time
1432,1043,0
1165,569,255
1084,542,260
939.078,1901.53,260
1195,617,260
1165,1877,260
992.051,1916.23,265
916,1868,265
931,1958,265
1192,665,265
1141,602,265
1096,461,265
978.631,1950,270
866.727,1960.11,270
1189,1964,270
973.241,1881.24,270
1015,635,270
899.273,1982.89,270
1264,1931,270
901,821,270
1093,713,270
1036,1937,270
874,1823,270
1132,731,270
1168,698,270
1498,404,275
1117,1967,275
1234,1754,275
1006,833,275
1177,791,275
1123,1919,275
904,1769,275
1297,581,275
1261,542,275
961,866,275
1225,728,275
1075,1865,275
1423,383,275
1252,689,275
1147,2009,280
1045,779,280
1120,1787,280
1072,884,280
1018,884,280
1366,833,280
961,752,280
1252,632,280
943,1745,280
1075,1757,280
1384,464,280
883,710,280
1525,314,280
1303,1835,285
1666,260,285
1249,878,285
991,965,285
1396,893,285
1243,1673,285
1180,1712,285
1051,953,285
805,707,285
1435,728,285
1591,347,285
925,902,285
1048,1601,285
1624,590,285
1027,1187,285
1576,278,285
1555,608,290
565,1847,290
1654,317,290
1648,446,290
901,1046,290
1471,680,290
1519,224,290
1408,758,290
1735,1571,290
985,1562,290
1672.24,707.694,290
985,1043,290
1033.42,1670.53,290
1006,1145,290
1633,203,290
1008.58,1639.47,290
1168,1661,290
1060,1037,290
2068,1391,290
1066,1646,295
937,1583,295
1675,416,295
2113,1391,295
1708.96,1605.29,295
1132,1643,295
1141,1598,295
700,1502,295
1618,473,295
1501,719,295
622,1652,295
1632.76,703.306,295
1564,668,295
1717,218,295
1735,173,300
832,1559,300
946,1457,300
1801,1517,300
613,1601,300
733,1541,300
892,1544,300
1594,140,300
1303,1070,300
997,1286,300
1258,1067,300
2191,1403,300
331,1463,300
982,1496,300
1704.04,1644.71,300
2146,1448,300
2071,1469,305
943,1214,305
1717,113,305
1654,122,305
1849,1559,305
769,1496,305
649,1547,305
853,1436,305
298,1484,305
450.593,1646.04,310
838,1352,310
2044,1541,310
604,1448,310
538,1427,310
586,1391,315
424.417,1675.95,315
1852,1109,315
1426,1238,320
1552,1247,320
2005.98,353.028,320
1435,1310,320
1957,896,325
1528,1310,325
1978,779,325
1992.23,401.362,325
1420,1379,325
2028.79,385.61,325
1753.37,1181.15,325
1747,1082,325
1792,1061,330
1846,1022,330
1573,1313,330
1669,1148,330
1716.63,1165.85,330
2053,212,335
1978,689,335
1933,644,335
1873,986,335
1960,989,335
1993,596,335
2011,731,340
2074,752,340
2077,557,340
2017,668,340
2248,857,355
2248,164,355
2293,872,360
2263,797,365
