cell_x,cell_y,death_time
1432,1043,0
1669,1148,230
1747,1082,235
1552,1247,240
1792,1061,240
1753.35,1181.14,245
1716.65,1165.86,245
1528,1310,250
1426,1238,250
1846,1022,250
1573,1313,255
733,1541,255
901,1046,255
1978,689,255
1852,1109,255
700,1502,260
1672.23,707.692,260
2017,668,260
1243,1673,260
1303,1070,260
1933,644,260
925,902,260
1873,986,260
1633,203,260
1435,1310,260
1666,260,265
1993,596,265
613,1601,265
1632.77,703.308,265
1420,1379,265
991,965,265
1234,1754,265
769,1496,265
1258,1067,265
961,752,265
985,1043,265
1519,224,265
2011,731,265
832,1559,270
1960,989,270
1576,278,270
649,1547,270
1735,1571,270
1564,668,270
1704.04,1644.7,270
1006,833,270
622,1652,270
1051,953,270
1717,218,270
2074,752,270
901,821,270
1093,713,270
1978,779,270
1501,719,270
1045,779,275
1249,878,275
1654,317,275
1992.24,401.357,275
1555,608,275
892,1544,275
1594,140,275
1132,731,275
1654,122,275
1708.96,1605.3,275
2077,557,275
1957,896,275
1525,314,275
604,1448,275
992.053,1916.23,275
1018,884,275
1591,347,275
1180,1712,275
1435,728,275
1735,173,275
1168,1661,275
538,1427,275
1060,1037,275
1624,590,275
1471,680,275
961,866,275
586,1391,280
450.584,1646.05,280
946,1457,280
1036,1937,280
838,1352,280
1366,833,280
1120,1787,280
978.631,1950,280
1072,884,280
1717,113,280
1849,1559,280
1648,446,280
853,1436,280
1132,1643,280
1408,758,280
2005.99,353.041,280
985,1562,280
937,1583,280
939.071,1901.53,280
1006,1145,280
883,710,280
1177,791,280
973.246,1881.23,280
1261,542,280
1192,665,280
1008.58,1639.48,280
1303,1835,285
1252,689,285
424.426,1675.94,285
1141,602,285
931,1958,285
1075,1865,285
1027,1187,285
1048,1601,285
1033.42,1670.52,285
1297,581,285
1675,416,285
1168,698,285
1015,635,285
982,1496,285
1498,404,285
805,707,285
1225,728,285
1141,1598,285
1396,893,285
1618,473,285
2028.77,385.603,285
916,1868,285
1075,1757,285
1066,1646,285
1801,1517,285
565,1847,285
1117,1967,285
1189,1964,290
904,1769,290
2191,1403,290
1195,617,290
1147,2009,290
1165,569,290
1123,1919,290
997,1286,290
1423,383,290
943,1214,290
899.28,1982.9,290
1165,1877,290
874,1823,290
1252,632,290
866.72,1960.1,290
943,1745,290
2248,857,295
2053,212,295
1264,1931,295
1084,542,295
1384,464,295
1096,461,300
2044,1541,300
2263,797,300
331,1463,300
2146,1448,300
2293,872,300
298,1484,305
2071,1469,305
2068,1391,305
2113,1391,305
2248,164,320
