cell_x,cell_y,death_time
1432,1043,0
1303,1070,95
1258,1067,105
1396,893,125
1366,833,130
1249,878,135
1426,1238,145
1408,758,145
1435,728,150
1552,1247,155
1471,680,155
1252,689,155
1501,719,155
1669,1148,160
1252,632,160
1564,668,160
1225,728,160
1716.69,1165.87,165
1177,791,165
1060,1037,165
1555,608,165
1632.85,703.317,165
1132,731,170
1747,1082,170
1006,1145,170
1792,1061,170
1051,953,170
1297,581,170
1672.15,707.683,170
1624,590,170
1168,698,170
1072,884,175
1753.31,1181.13,175
1618,473,175
1027,1187,175
1192,665,175
1261,542,175
985,1043,175
1093,713,175
1141,602,175
1195,617,175
1045,779,180
1852,1109,180
991,965,180
1006,833,180
1018,884,180
1015,635,180
1435,1310,180
1846,1022,180
1165,569,180
1384,464,180
1648,446,185
1528,1310,185
901,1046,185
1420,1379,185
1873,986,185
1084,542,185
997,1286,185
961,752,185
961,866,185
1573,1313,190
1675,416,190
1498,404,190
901,821,190
1096,461,190
883,710,190
925,902,190
943,1214,190
1423,383,195
1654,317,195
805,707,195
982,1496,195
1525,314,200
1591,347,200
1960,989,200
1957,896,200
1801,1517,200
946,1457,205
1666,260,205
1576,278,205
1978,689,205
1978,779,205
937,1583,210
1933,644,210
2068,1391,210
1633,203,210
1519,224,210
2017,668,210
2074,752,210
1849,1559,210
853,1436,210
1993,596,215
838,1352,215
892,1544,215
1717,218,215
1735,1571,215
985,1562,215
2011,731,215
769,1496,215
832,1559,220
1033.4,1670.5,220
1066,1646,220
1048,1601,220
1735,173,220
1141,1598,220
1594,140,220
604,1448,220
1704.04,1644.67,220
1992.26,401.35,225
943,1745,225
2113,1391,225
1008.6,1639.5,225
1717,113,225
1654,122,225
1708.96,1605.33,225
1132,1643,225
2077,557,225
700,1502,225
538,1427,230
2146,1448,230
733,1541,230
1168,1661,230
2006.01,353.062,230
904,1769,230
2044,1541,230
2191,1403,230
2028.74,385.588,230
586,1391,235
2248,857,235
1180,1712,235
2071,1469,235
2263,797,235
1075,1865,235
649,1547,235
1075,1757,235
1243,1673,235
2293,872,240
874,1823,240
2053,212,240
613,1601,240
973.238,1881.26,240
1120,1787,240
1234,1754,240
1303,1835,245
916,1868,245
1036,1937,245
622,1652,245
1123,1919,245
1165,1877,245
992.044,1916.22,245
450.574,1646.06,250
424.436,1675.93,250
978.631,1950,250
1264,1931,250
2248,164,250
931,1958,250
1117,1967,250
939.086,1901.52,250
1189,1964,255
866.733,1960.11,255
899.267,1982.89,255
1147,2009,255
565,1847,260
331,1463,260
298,1484,265
