cell_x,cell_y,death_time
1432,1043,0
1303,1070,30
1258,1067,35
1993,596,55
978.631,1950,55
1552,1247,55
1396,893,55
973.147,1881.72,55
1435,728,55
931,1958,55
450.297,1646.38,60
1528,1310,60
1573,1313,60
565,1847,60
1408,758,60
991.876,1915.91,60
939.346,1901.37,60
1234,1754,60
916,1868,60
867.007,1960.3,60
961,866,60
1093,713,60
1978,779,60
2248,857,60
2293,872,60
1366,833,60
1036,1937,60
1147,2009,65
1978,689,65
1132,1643,65
1426,1238,65
1735,1571,65
2146,1448,65
1123,1919,65
1180,1712,65
2263,797,65
898.993,1982.7,65
1075,1865,65
2074,752,65
1141,602,65
1471,680,65
925,902,65
1675,416,65
1501,719,65
874,1823,65
1249,878,65
1435,1310,65
424.714,1675.61,70
1120,1787,70
1852,1109,70
2011,731,70
2017,668,70
649,1547,70
1564,668,70
991,965,70
1420,1379,70
1618,473,70
604,1448,70
1633.14,703.349,70
1168,698,70
1117,1967,70
1189,1964,70
1132,731,70
1243,1673,70
1704.09,1644.32,70
1018,884,70
1177,791,70
1006,1145,70
1075,1757,70
1051,953,70
1165,1877,70
2113,1391,70
2071,1469,70
904,1769,70
1168,1661,70
1060,1037,70
1027,1187,70
1192,665,70
937,1583,70
2191,1403,70
1225,728,70
901,821,70
1555,608,70
1195,617,70
1933,644,70
586,1391,75
1045,779,75
2077,557,75
613,1601,75
892,1544,75
1624,590,75
901,1046,75
1072,884,75
1423,383,75
1384,464,75
1654,122,75
1708.91,1605.68,75
1165,569,75
1648,446,75
1141,1598,75
700,1502,75
1264,1931,75
1084,542,75
1671.86,707.651,75
1957,896,75
2044,1541,75
331,1463,75
985,1562,75
985,1043,75
1033.3,1670.37,75
943,1745,75
1252,689,75
1591,347,75
1006,833,75
1252,632,75
961,752,75
1066,1646,75
2068,1391,75
1015,635,75
1297,581,75
1303,1835,80
943,1214,80
883,710,80
832,1559,80
946,1457,80
1576,278,80
1261,542,80
1960,989,80
1594,140,80
1669,1148,80
1666,260,80
1654,317,80
1992.39,401.294,80
733,1541,80
805,707,80
1525,314,80
982,1496,80
1096,461,80
1717,113,80
1846,1022,80
1498,404,80
1849,1559,80
622,1652,80
1792,1061,80
1008.71,1639.63,80
1048,1601,80
298,1484,80
538,1427,80
1716.76,1165.9,85
1519,224,85
1717,218,85
2028.47,385.451,85
1747,1082,85
1873,986,85
1633,203,85
853,1436,85
997,1286,85
769,1496,85
1753.24,1181.1,85
1735,173,85
838,1352,85
1801,1517,85
2006.14,353.255,90
2053,212,95
2248,164,110
