cell_x,cell_y,death_time
1432,1043,0
1471,680,50
1366,833,50
1408,758,55
1396,893,55
1435,728,55
2068,1391,55
1048,1601,55
925,902,55
943,1214,55
1669,1148,60
978.631,1950,60
1426,1238,60
991,965,60
2113,1391,60
1008.73,1639.66,60
1261,542,60
961,866,60
1093,713,60
1555,608,60
1501,719,60
1846,1022,60
1564,668,60
1132,731,60
2028.38,385.38,65
985,1562,65
991.904,1915.96,65
1704.09,1644.28,65
2146,1448,65
1006,833,65
1018,884,65
1177,791,65
1792,1061,65
1051,953,65
899.015,1982.71,65
931,1958,65
1633.18,703.353,65
1060,1037,65
1297,581,65
1168,698,65
1066,1646,65
2191,1403,65
1033.27,1670.33,65
985,1043,65
1141,602,65
1624,590,65
1225,728,65
1435,1310,65
866.985,1960.29,65
450.344,1646.32,70
1045,779,70
1036,1937,70
613,1601,70
1120,1787,70
901,1046,70
1072,884,70
1753.22,1181.09,70
1747,1082,70
1978,689,70
1708.91,1605.72,70
1132,1643,70
1618,473,70
2006.2,353.342,70
1249,878,70
1873,986,70
939.29,1901.4,70
916,1868,70
973.176,1881.64,70
997,1286,70
1015,635,70
700,1502,70
1671.82,707.647,70
2071,1469,70
1258,1067,70
1192,665,70
1978,779,70
1027,1187,70
1420,1379,70
937,1583,70
1675,416,70
961,752,70
1252,632,70
943,1745,70
1252,689,70
901,821,70
1006,1145,70
1195,617,70
1165,569,70
1384,464,70
1075,1865,75
424.666,1675.67,75
832,1559,75
946,1457,75
1147,2009,75
1992.42,401.279,75
733,1541,75
892,1544,75
1960,989,75
883,710,75
1303,1070,75
1075,1757,75
1716.78,1165.91,75
1165,1877,75
2017,668,75
1498,404,75
1123,1919,75
649,1547,75
1141,1598,75
1852,1109,75
1084,542,75
1735,1571,75
2044,1541,75
1648,446,75
904,1769,75
1234,1754,75
1933,644,75
2011,731,75
1591,347,75
622,1652,75
769,1496,75
874,1823,75
1168,1661,75
1180,1712,75
982,1496,75
805,707,80
1096,461,80
2077,557,80
1423,383,80
1528,1310,80
1573,1313,80
1801,1517,80
1654,317,80
1993,596,80
838,1352,80
2074,752,80
1633,203,80
2293,872,80
1576,278,80
1957,896,80
1243,1673,80
1849,1559,80
604,1448,80
1189,1964,80
853,1436,80
1525,314,80
1117,1967,80
1594,140,80
1552,1247,80
1303,1835,85
586,1391,85
538,1427,85
331,1463,85
1264,1931,85
1717,218,85
2053,212,85
1519,224,85
2263,797,85
1717,113,85
1666,260,85
2248,857,85
565,1847,85
1735,173,90
298,1484,90
1654,122,90
2248,164,105
