Experiment_name,SPI,NI,Treatment,Cell Line + Treatment,Cell Line,Origin,Mode,Density,pvalue,sliding_time_window_size,neighbors_dist_threshold
7-20-23_10arednuclei_ROI#13_or14_both_colonies_annotation_mixed.csv,0.6220179898318341,0.21176470588235294,MixedColony,MCF10A+7-20-23_10arednuclei_roi#13_or14_both_colonies_annotation_mixed.csv,MCF10A,field14_two_colony,mixed,596,0.0,120,33
purecolony3.csv,,,MixedColony,MCF10A+purecolony3.csv,MCF10A,pure_colony_3,Necrosis,818,,120,33
purecolony1.csv,,,MixedColony,MCF10A+purecolony1.csv,MCF10A,pure_colony_1,Necrosis,930,,120,33
purecolony2.csv,,,MixedColony,MCF10A+purecolony2.csv,MCF10A,pure_colony_2,Necrosis,975,,120,33
mixcolony1.csv,0.48753462603878117,0.3323442136498516,MixedColony,MCF10A+mixcolony1.csv,MCF10A,mix_colony_1,mixed,337,0.0,120,33
mixcolony2_field13.csv,0.5512890839275918,0.2589792060491493,MixedColony,MCF10A+mixcolony2_field13.csv,MCF10A,mix_colony_2,mixed,529,0.0,120,33
mixcolony3.csv,0.08797653958944288,0.4951923076923077,MixedColony,MCF10A+mixcolony3.csv,MCF10A,mix_colony_3,mixed,208,0.0,120,33
field13_crop-001_ROI#1_annotation_apop.csv,0.09336176525125171,0.19831223628691982,ApoptosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_apop.csv,MCF10A,field13_colony,Apoptosis,237,0.0,5,50
field13_crop-001_ROI#1_annotation_nec.csv,0.3129408157007054,0.11650485436893204,NecrosisInColonies,MCF10A+field13_crop-001_roi#1_annotation_nec.csv,MCF10A,field13_colony,Necrosis,309,0.0,5,50
Field14-002_ROI#1_annotation_apop.csv,0.17190574458895244,0.18041237113402062,ApoptosisInColonies,MCF10A+field14-002_roi#1_annotation_apop.csv,MCF10A,field14_colony,Apoptosis,387,0.0,5,50
Field14-002_ROI#1_annotation_nec.csv,0.3087467362924282,0.14859437751004015,NecrosisInColonies,MCF10A+field14-002_roi#1_annotation_nec.csv,MCF10A,field14_colony,Necrosis,249,0.0,5,50
7-20-23_10arednuclei_ROI#10_annotation_apop.csv,-0.5056542810985459,0.2978723404255319,ApoptosisInColonies,MCF10A+7-20-23_10arednuclei_roi#10_annotation_apop.csv,MCF10A,field11_colony,Apoptosis,47,0.56,5,50
