cell_x,cell_y,death_time
263.788,1033.79,0
278.709,1006.93,5
316.082,1033.26,40
221.223,1029.92,45
335.339,999.996,45
268.265,962.164,50
362.268,960.672,50
320.489,933.814,55
261.643,918.627,55
210.723,972.695,55
172.285,1037.2,60
172.781,975.489,60
231.322,941.281,60
318.993,858.151,60
203.293,912.121,60
274.233,862.193,60
305.571,894.585,60
396.998,933.759,60
151.005,1004.03,65
193.622,1006.12,65
466.715,984.546,65
187.172,943.437,65
135.632,967.894,65
150.817,932.191,65
230.876,888.509,65
380.893,857.86,65
435.858,936.138,65
208.199,804.518,65
133.162,1037.05,70
478.166,938.516,70
406.56,887.622,70
216.905,840.001,70
458.851,904.462,70
418.718,848.557,70
176.808,828.213,70
520.431,860.701,75
187.646,771.621,75
536.844,814.445,80
97.5294,778.273,80
136.583,780.175,80
64.8569,799.838,85
502.664,577.196,95
529.061,549.097,105
446.396,528.228,105
571.163,554.819,110
541.498,512.483,110
393.99,522.731,110
578.154,499.561,115
387.245,483.951,115
532.368,462.308,115
464.653,493.374,115
608.943,523.847,115
660,551.23,120
605.658,420.007,120
599.336,385.24,120
657.705,486.181,125
527.083,330.001,125
695.377,535.864,125
668.15,592.121,125
540.709,293.716,130
747.524,540.961,130
566.217,334.683,130
724.293,510.006,130
671.552,388.316,130
665.166,430.973,130
695.614,356.926,130
712.548,476.61,130
504.523,288.998,135
733.961,381.806,135
787.519,545.866,135
725.154,439.612,135
704.658,407.485,135
749.992,468.411,135
847.203,614.503,140
804.64,501.896,140
785.356,468.433,140
770.927,431.888,140
847.276,556.181,140
802.44,593.613,140
844.91,517.155,140
803.92,407.063,145
906.029,635.345,145
845.787,654.716,145
880.794,718.506,145
815.869,444.806,145
837.287,479.733,145
667.188,233.577,145
936.203,664.026,150
911.962,694.843,150
927.777,748.793,150
852.467,691.019,150
883.381,454.247,150
883.509,667.211,150
874.945,492.462,150
705.058,224.001,150
706.945,177.315,150
739.636,205.672,150
997.906,641.361,155
956.127,611.519,155
17.5904,137.028,155
775.582,168.362,155
760.661,131.06,155
1041.18,621.963,160
1048.84,664.724,160
1012.35,290.175,160
778.566,89.2805,160
824.821,153.441,160
1148.61,329.51,165
1083.28,656.521,165
1121.66,647.931,165
1044.64,267.381,165
1069.25,698.592,165
895.937,187.569,165
830.441,89.1987,165
930,190.915,170
1127.57,250.237,170
1169.85,575.418,170
1191.1,646.776,170
1005.37,226.555,170
869.984,140.708,170
868.858,98.6698,170
1078.48,295.192,170
1151.72,610.639,170
1091.77,234.346,170
889.932,65.2473,170
1182.57,273.725,175
1144.87,285.419,175
938.956,129.228,175
1190.36,691.469,175
903.008,145.871,175
1033.72,186.268,175
969.163,191.456,175
896.443,22.1356,175
1077.98,197.505,175
977.184,152.748,175
1192.94,607.468,175
1156.65,665.669,175
929.269,72.8673,175
1079.47,135.621,180
1191.88,235.507,180
1026.26,145.981,180
1153.09,213.126,180
977.399,75.5842,180
1224.73,671.827,180
962.4,38.9085,180
1103.24,167.199,180
1241.12,342.939,180
1218.93,162.792,185
1181.44,128.075,185
1038.19,93.7568,185
1284.39,329.51,185
1142.64,145.981,185
1185.72,184.377,185
1009.16,51.8854,185
1267.98,154.933,190
1232.17,17.6593,190
1282.9,119.123,190
1291.82,208.725,190
1303.34,283.389,190
1242.27,97.215,190
1290.81,245.818,190
1382.87,217.602,195
1265.33,64.9328,195
1333.63,238.491,195
1347.06,105.694,195
1278.42,20.6435,195
1305.31,171.271,195
1351.54,16.1671,200
1335.12,56.4541,200
1375.41,57.9462,200
