cell_x,cell_y,death_time
263.788,1033.79,0
278.709,1006.93,5
268.265,962.164,10
208.501,969.072,15
220.581,1029.36,20
260.287,919.655,20
203.092,915.634,25
320.489,933.814,30
230.973,942.381,30
335.297,1000.07,35
173.621,974.61,35
152.781,933.271,35
227.372,891.744,35
172.579,1036.29,40
316.125,1033.18,40
189.004,942.881,40
318.909,858.379,40
274.233,862.193,40
305.655,894.357,40
152.199,1002.96,45
193.282,1004.9,45
137.112,967.674,45
362.268,960.672,45
381.134,857.877,45
397.121,933.766,45
216.905,840.001,45
208.009,804.335,45
133.975,1035.89,50
406.506,887.559,50
435.786,936.061,50
187.785,771.843,50
176.86,828.174,50
466.715,984.546,55
478.126,938.445,55
136.429,780.168,55
458.84,904.603,55
418.531,848.603,55
520.431,860.701,60
536.844,814.445,60
64.9432,799.781,60
97.5978,778.338,60
393.98,522.672,90
502.703,577.154,90
571.163,554.819,95
446.409,528.203,95
387.256,484.01,100
529.041,549.08,100
541.519,512.529,105
464.639,493.4,105
608.926,523.834,110
532.368,462.308,110
578.129,499.588,115
668.15,592.121,115
695.408,535.837,120
660,551.23,120
605.658,420.007,120
747.494,540.922,125
599.336,385.24,125
657.705,486.181,125
665.166,430.973,125
724.261,510.001,125
749.983,468.316,130
527.073,330,130
566.227,334.684,130
787.519,545.866,130
671.552,388.316,130
712.575,476.683,130
504.523,288.998,135
704.661,407.49,135
695.614,356.926,135
785.36,468.432,135
880.818,718.465,135
725.222,439.694,135
845.789,654.717,140
540.709,293.716,140
733.961,381.807,140
837.287,479.733,140
770.933,431.902,140
844.881,517.153,145
803.921,407.064,145
847.203,614.503,145
802.44,593.613,145
815.813,444.848,145
847.278,556.206,145
883.489,667.228,145
804.607,501.839,145
906.029,635.345,150
883.381,454.245,150
874.972,492.442,150
852.501,691.017,150
667.163,233.584,150
997.906,641.361,155
927.777,748.793,155
936.211,664.016,155
911.914,694.879,155
705.061,224.006,155
706.945,177.315,155
739.657,205.661,155
956.127,611.519,160
775.582,168.362,160
1048.84,664.719,165
1041.18,621.963,165
760.661,131.06,165
824.821,153.441,165
895.917,187.567,170
1083.26,656.524,170
1069.26,698.598,170
1121.66,647.92,170
778.566,89.2805,170
830.435,89.1973,170
1169.84,575.408,175
930,190.917,175
869.984,140.708,175
868.856,98.6832,180
896.443,22.1356,180
1190.36,691.472,180
1191.13,646.787,180
889.94,65.2353,180
969.183,191.463,180
1156.64,665.692,180
938.96,129.226,180
977.185,152.742,180
903.004,145.873,180
1192.95,607.449,185
1224.74,671.824,185
929.269,72.8673,185
1044.67,267.364,185
1151.72,610.643,185
977.397,75.5907,185
1033.72,186.268,185
1005.37,226.555,185
1012.32,290.193,190
1026.26,145.981,190
1009.16,51.8829,190
17.5904,137.028,190
962.398,38.9045,190
1077.94,197.478,190
1103.27,167.194,195
1148.61,329.51,195
1078.48,295.192,195
1038.19,93.7568,195
1079.45,135.605,195
1091.7,234.354,195
1185.71,184.385,200
1127.61,250.185,200
1142.64,145.981,200
1144.87,285.522,200
1241.12,342.939,205
1191.88,235.507,205
1218.94,162.785,205
1182.6,273.713,205
1181.44,128.075,205
1153.09,213.126,205
1267.98,154.933,210
1284.39,329.51,210
1242.27,97.2251,210
1291.82,208.73,215
1290.81,245.797,215
1282.9,119.123,215
1305.31,171.265,215
1265.34,64.9227,215
1232.17,17.6593,215
1347.06,105.694,220
1335.12,56.4541,220
1278.42,20.6435,220
1303.34,283.409,220
1333.63,238.491,220
1382.87,217.602,225
1375.41,57.9462,225
1351.54,16.1671,225
